105953Adama Torquato Medeiros       03182220000000000000020100100000
156621Rodolfo Povoas Monteiro       03182220000000000000000000000000
125187Celine Portela Martinho       02181220000000000000000000000000
186575Érica Raposo Castelhano       02182220000000000000020100000000
127844Raissa Matos Madeira          01900220000040000600040300000000
155360Brahim Valadares Frois        03182220000000000000000000000000
144352Leon Jordao Frota             02182220000000000000020100000000
225444Giovani Assis Vides           02182220000000000000020200000000
183873Izabella Coimbra Martins      00609220000095000000040400000000
129763Valentine Salvado Catela      00591220000203301600050500000000
117728Mizael Lagos Prado            00591220000000000000010100000000
126798Jasmine Cisneiros Olaio       00591220000000000800000000000000
528753Iago Semedo Tavora            00591220000095000800050200020000
584572Vera Barbosa Madeira          03182220000050000400020200000000
468256Cristovao Marcal Cordeiro     01000220000010000400000200066000
100001Referencia INSS     Um        00591220000000000000000000000000
100002Referencia INSS     Dois      02182220000000000000000000000000
100003Referencia INSS     Tres      03182220000000000000000000000000
200001Referencia IRRF Zero Um       00800220000000000000000000000000
200002Referencia IRRF Zero Dois     01200220000000000000000000000000
200003Referencia IRRF Zero Tres     01600220000000000000000000000000
200004Referencia IRRF Zero Quatro   02000220000000000000000000000000
200005Referencia IRRF Zero Cinco    03000220000000000000000000000000
200005Presidente                    12300220000000000000000001523976
322953Zeferino Zacarias Mateus      03182220000000000000020100100000
322621Donato Helena Pinheiro        03182220000000000000000000000000
322187Cristovao Magda Araujo        02181220000000000000000000000000
322575Nilo Chico Teixeira           02182220000000000000020100000000
322844Juliana Nathalia Da Costa     01900220000040000600040300000000
331360Isabel Vanda Sousa            03182220000000000000000000000000
331352Cecilio Noe Machado           02182220000000000000020100000000
331444Estefania Nadia Barros        02182220000000000000020200000000
331873Leonor Otavia Lucas           00609220000095000000040400000000
331763Amelia Eutimio Feliciano      00591220000203301600050500000000
331728Pedro Jacinto Dias            00591220000000000000010100000000
331798Patricia Geraldo Simoes       00591220000000000800000000000000
494753Isaque Balbina Nogueira       00591220000095000800050200020000
494572Natacha Timoteo Guerra        03182220000050000400020200000000
196256Chica Leandro Serafim         01000220000010000400000200066000
196001Ronaldo Osvaldo Rosario       00591220000000000000000000000000
196002Raul Genoveva Da Costa        02182220000000000000000000000000
196003Cezar Valter Barros           03182220000000000000000000000000
196001Graca Zeze Pereira            00800220000000000000000000000000
196002Anita Tomas Gomes             01200220000000000000000000000000
196003Elizabete Doris Gil           01600220000000000000000000000000
196004Nilda Nataniel Lucas          02000220000000000000000000000000
165005Joaninha Ronaldo Cardoso      03000220000000000000000000000000
165005Bonifacio Arnaldo Pereyra     12300220000000000000000001523976
165005Bonifacio Arnaldo Pereyra     12300220000000000000000001523976
165431Rosa Liberato Constantino     00609220000095000000040400000000
321312Elizabete Cristina Coelho     00591220000000000000000000000000
321323Regina Quirino Cardoso        02182220000000000000000000000000
321334Evaristo Helena Serafim       03182220000000000000000000000000
321345Glaucia Walter Martins        00800220000000000000000000000000
321356Carla Eva Ferreira            01200220000000000000000000000000
321367Ismael Adelmar Gaspar         01600220000000000000000000000000
321378Graca Paulinho Silva          02000220000000000000000000000000
321389Vinicius Vitoria Serafim      03000220000000000000000000000000
321311Mario Tome Ferreira           12300220000000000000000001523976
321763Amelia Eutimio Feliciano      00591220000203301600050500000000
321728Pedro Jacinto Dias            00591220000000000000010100000000
321798Patricia Geraldo Simoes       00591220000000000800000000000000
321753Isaque Balbina Nogueira       00591220000095000800050200020000
321572Natacha Timoteo Guerra        03182220000050000400020200000000
321256Chica Leandro Serafim         01000220000010000400000200066000
